"Kommun_code","Year","Kommun_name","Productivity","EmployeeIndex","SalesIndex","Population","Percent_University","Infrast","Border","Patent"
2034,2001,"Orsa",90.901277083016,6.63547914932698,6.03173528731546,6979,0.0564550795242871,0,0,48
2034,2002,"Orsa",97.6438518184368,6.18607551348987,6.04032240776867,7015,0.0605844618674269,0,0,48
2034,2003,"Orsa",128.343247987071,5.45361417634161,6.99934556660018,7053,0.0618176662413158,0,0,48
2034,2004,"Orsa",98.3070786316104,7.13106663943911,7.01034328850595,7031,0.0635755937988906,0,0,46
2034,2005,"Orsa",99.4383119339495,6.45460558528687,6.41835083600368,7020,0.0695156695156695,0,0,36
2034,2006,"Orsa",124.836836727181,5.01690487802862,6.26294535134255,7026,0.071733561058924,0,0,38
2034,2007,"Orsa",123.550915048844,4.51943827604541,5.58380734512181,7091,0.0724862501762798,0,0,38
2034,2008,"Orsa",124.265215540828,4.33049628386478,5.38130054113211,6990,0.0746781115879828,0,0,36
2034,2009,"Orsa",61.9152779204698,9.05285340015947,5.60509934244143,6934,0.0765791750793193,0,0,23
2034,2010,"Orsa",93.0720064135638,5.75684924197691,5.35801509571194,6922,0.0777232013868824,0,0,39
2034,2011,"Orsa",102.614954358967,4.39799122891966,4.51299669226729,6867,0.0803844473569244,0,0,35
2034,2012,"Orsa",102.313443362957,3.98455811388391,4.07673860911271,6835,0.0810534016093636,0,0,19
2039,2001,"Älvdalen",66.3333643578766,11.059131915545,7.33589426835667,7652,0.0337166753789859,0,1,48
2039,2002,"Älvdalen",74.5215520665597,9.14463336776763,6.81472271645694,7617,0.034134173559144,0,1,48
2039,2003,"Älvdalen",60.2120982577643,10.387836526365,6.25473433611081,7570,0.0373844121532365,0,1,48
2039,2004,"Älvdalen",54.3661006944115,10.5736505343408,5.74848149657489,7515,0.040851630073187,0,1,46
2039,2005,"Älvdalen",55.0572374860554,11.4196868047383,6.28736408424849,7445,0.0447280053727334,0,1,36
2039,2006,"Älvdalen",57.449510282768,10.2727099883443,5.90162158107282,7419,0.0463674349642809,0,1,38
2039,2007,"Älvdalen",42.4841742974972,12.8803990867294,5.47213119821938,7362,0.0494430861179027,0,1,38
2039,2008,"Älvdalen",45.2073987326881,9.960141452889,4.50272086094729,7287,0.0515987374777,0,1,36
2039,2009,"Älvdalen",53.66765178097,8.43561339560314,4.52719562274117,7288,0.0531009879253568,0,1,23
2039,2010,"Älvdalen",41.9888261782606,7.6072650697552,3.19420130705905,7207,0.0560566116275843,0,1,39
2039,2011,"Älvdalen",44.1814386823331,7.19671292005036,3.17961130591559,7184,0.0584632516703786,0,1,35
2039,2012,"Älvdalen",44.2436511839813,7.37143251068523,3.26139088729016,7139,0.0613531306905729,0,1,19
2061,2001,"Smedjebacken",109.297250757694,11.3356102134336,12.3895103198913,11357,0.0383023685832526,0,0,48
2061,2002,"Smedjebacken",112.491306924997,11.5652716121767,13.0099251859633,11157,0.0414986107376535,0,0,48
2061,2003,"Smedjebacken",111.892400943581,10.6475324395241,11.9137796878301,11012,0.0443152924082819,0,0,48
2061,2004,"Smedjebacken",85.0088119948981,13.5244367299707,11.4969629931497,10923,0.0489792181635082,0,0,46
2061,2005,"Smedjebacken",71.150356776487,16.3847680241897,11.6578209062108,10812,0.053921568627451,0,0,36
2061,2006,"Smedjebacken",70.1424366895198,16.4841160278083,11.5623606486324,10715,0.0570228651423238,0,0,38
2061,2007,"Smedjebacken",81.9159491556718,16.4959497075658,13.5128137751947,10715,0.0600093327111526,0,0,38
2061,2008,"Smedjebacken",77.251217196496,14.0741129225605,10.8724235422873,10734,0.0622321594931992,0,0,36
2061,2009,"Smedjebacken",83.6399368399328,11.7275600865702,9.8089238492725,10758,0.063487637107269,0,0,23
2061,2010,"Smedjebacken",111.232397908893,8.42967210432333,9.37652641749589,10715,0.0662622491833878,0,0,39
2061,2011,"Smedjebacken",126.843485249279,7.19671292005036,9.128561491177,10662,0.0698743200150066,0,0,35
2061,2012,"Smedjebacken",126.545574685762,7.57066041637943,9.58033573141486,10650,0.0704225352112676,0,0,19
2062,2001,"Mora",98.7036142012197,75.4785753235944,74.5000817919778,20014,0.0591086239632257,0,0,48
2062,2002,"Mora",96.4348789429188,78.5362630408279,75.7363501897148,20024,0.0627247303236117,0,0,48
2062,2003,"Mora",95.0125546737831,79.4669494266921,75.5035787716232,20093,0.0664908176977057,0,0,48
2062,2004,"Mora",92.7661341996469,78.4417330338302,72.7673633346917,20083,0.0708061544589952,0,0,46
2062,2005,"Mora",86.0372671375559,82.6686023038664,71.1258062030613,20212,0.0748070453196121,0,0,36
2062,2006,"Mora",90.3778881277692,78.3592761901613,70.8194589728734,20159,0.0777320303586487,0,0,38
2062,2007,"Mora",89.7899091924737,77.7343383479811,69.7975918140224,20143,0.0809710569428586,0,0,38
2062,2008,"Mora",95.3958168662978,74.4845360824742,71.0551316349488,20153,0.0848012702823401,0,0,36
2062,2009,"Mora",100.449961381461,74.6860405513156,75.0220988911392,20146,0.0867666037923161,0,0,23
2062,2010,"Mora",104.863934827952,73.3998278352056,76.969947624939,20153,0.0895152086537984,0,0,39
2062,2011,"Mora",102.337616644483,73.9662161227398,75.6952627021194,20107,0.0914109514099567,0,0,35
2062,2012,"Mora",101.614581044904,72.9174134840756,74.0947242206236,20082,0.0951598446369883,0,0,19
2080,2001,"Falun",103.813527607081,168.651761712061,175.083343204779,54601,0.10243402135492,0,0,48
2080,2002,"Falun",112.106648200709,151.693329982969,170.058307787948,54841,0.107893729144253,0,0,48
2080,2003,"Falun",117.847242974259,146.208799108587,172.303038735243,55010,0.114106526086166,0,0,48
2080,2004,"Falun",111.176079701671,151.965489074944,168.949273252993,54994,0.119158453649489,0,0,46
2080,2005,"Falun",111.466598078143,149.945452827433,167.139095239606,55274,0.124163259398632,0,0,36
2080,2006,"Falun",113.331334726113,147.401443321127,167.052023121387,55267,0.127291150234317,0,0,38
2080,2007,"Falun",106.44386527285,158.632283489194,168.854334116483,55220,0.130405650126766,0,0,38
2080,2008,"Falun",109.942851946245,151.134320306881,166.161382014957,55297,0.13431108378393,0,0,36
2080,2009,"Falun",111.496348602345,152.458281125413,169.985416596734,55685,0.137792942444105,0,0,23
2080,2010,"Falun",110.13078821586,149.883682050042,165.068080448664,56044,0.140157733209621,0,0,39
2080,2011,"Falun",111.108655157186,148.53215832215,165.032083587683,56124,0.14204261991305,0,0,35
2080,2012,"Falun",110.862732448312,146.631738590928,162.559952038369,56432,0.146424014743408,0,0,19
2081,2001,"Borlänge",96.9209325571842,197.129026394589,191.059290722534,46962,0.0627741578297347,1,0,48
2081,2002,"Borlänge",97.1840591567497,200.644014481019,194.993997727711,47049,0.0667601861888669,1,0,48
2081,2003,"Borlänge",97.2827968847678,197.628589914094,192.258619712358,46919,0.0723800592510497,1,0,48
2081,2004,"Borlänge",103.621603224126,187.129024572868,193.906095360074,46988,0.077551715331574,1,0,46
2081,2005,"Borlänge",102.703373365708,194.879437863469,200.147756681911,46987,0.081299082725009,1,0,36
2081,2006,"Borlänge",103.559397981139,216.204710219805,223.900296310497,47399,0.082870946644444,1,0,38
2081,2007,"Borlänge",105.72803836733,212.413598974134,224.580731420799,47756,0.0845548203367116,1,0,38
2081,2008,"Borlänge",109.769039843442,204.399424598418,224.367285827203,48185,0.0864791947701567,1,0,36
2081,2009,"Borlänge",114.047416593761,197.72254812621,225.497458161298,48681,0.0886793615578973,1,0,23
2081,2010,"Borlänge",114.387783933181,199.433705882771,228.12779657512,49251,0.0911047491421494,1,0,39
